Name,Group,class,yeast8_reaction_lst,yeast8_reaction_num,yeast8U_reaction_lst,yeast8U_reaction_num
Glycerol,native,alcohol,"['r_0487', 'r_0488', 'r_1172', 'r_3597']",4,"['r_0487', 'r_0488', 'r_1172', 'r_3597', 'rxn373', 'rxn405', 'rxn2005', 'rxn2006', 'rxn2676', 'rxn2677', 'rxn2694', 'rxn2695', 'rxn2696', 'rxn2717', 'rxn2718', 'rxn2739', 'rxn2740', 'rxn2757', 'rxn2758', 'rxn3212', 'rxn3213', 'rxn3214', 'rxn3215', 'rxn3240', 'rxn3241', 'rxn3254', 'rxn3255', 'rxn3268', 'rxn3269']",29
(S)-Lactate,native,organic acid,"['r_0004', 'r_1206', 'r_4711']",3,"['r_0004', 'r_1206', 'r_4711']",3
Acetate,native,organic acid,"['r_0112', 'r_1106', 'r_1635', 'r_4397', 'r_4569', 'r_4602', 'r_4717']",7,"['r_0112', 'r_1106', 'r_1635', 'r_4397', 'r_4569', 'r_4602', 'r_4717']",7
Citrate,native,organic acid,"['r_0303', 'r_1112', 'r_1126', 'r_1127', 'r_1128', 'r_1686', 'r_1688', 'r_1689']",8,"['r_0303', 'r_1112', 'r_1126', 'r_1127', 'r_1128', 'r_1686', 'r_1688', 'r_1689', 'rxn76']",9
Hexanoate,native,organic acid,"['r_2191', 'r_2230']",2,"['r_2191', 'r_2230', 'rxn53', 'rxn720', 'rxn1348', 'rxn1349', 'rxn1350', 'rxn1351', 'rxn1352', 'rxn2263']",10
Glycolate,native,organic acid,['r_4315'],1,"['r_4315', 'rxn40', 'rxn105', 'rxn409', 'rxn505', 'rxn506', 'rxn507', 'rxn508', 'rxn509', 'rxn3085']",10
Fumarate,native,organic acid,"['r_0152', 'r_0207', 'r_0452', 'r_0453', 'r_0455', 'r_1000', 'r_1796']",7,"['r_0152', 'r_0207', 'r_0452', 'r_0453', 'r_0455', 'r_1000', 'r_1796', 'rxn162', 'rxn297', 'rxn2246', 'rxn2579']",11
(S)-Malate,native,organic acid,"['r_0452', 'r_0714', 'r_1126', 'r_1226', 'r_1652', 'r_1689', 'r_1901', 'r_1930', 'r_2132']",9,"['r_0452', 'r_0714', 'r_1126', 'r_1226', 'r_1652', 'r_1689', 'r_1901', 'r_1930', 'r_2132', 'rxn74', 'rxn151', 'rxn735', 'rxn1418', 'rxn1600', 'rxn1771', 'rxn1772', 'rxn1773', 'rxn1774', 'rxn1775']",19
Pyruvate,native,organic acid,"['r_0958', 'r_0959', 'r_0960', 'r_1138', 'r_1254', 'r_2034', 'r_2112', 'r_2117', 'r_2119', 'r_4184', 'r_4226', 'r_4716']",12,"['r_0958', 'r_0959', 'r_0960', 'r_1138', 'r_1254', 'r_2034', 'r_2112', 'r_2117', 'r_2119', 'r_4184', 'r_4226', 'r_4716', 'rxn111', 'rxn112', 'rxn113', 'rxn351', 'rxn481', 'rxn482', 'rxn631', 'rxn748', 'rxn898', 'rxn899', 'rxn900', 'rxn901', 'rxn902', 'rxn909', 'rxn912', 'rxn1304', 'rxn1418', 'rxn1635', 'rxn1636', 'rxn2159', 'rxn2347', 'rxn2390', 'rxn2427', 'rxn2513', 'rxn2650', 'rxn2828', 'rxn3163']",39
2-Oxoglutarate,native,organic acid,"['r_0018', 'r_0068', 'r_0216', 'r_0471', 'r_0472', 'r_0659', 'r_0663', 'r_0681', 'r_0699', 'r_0819', 'r_0851', 'r_1029', 'r_1056', 'r_1063', 'r_1087', 'r_1099', 'r_1112', 'r_1587', 'r_1588', 'r_1647', 'r_1652', 'r_4226', 'r_4260', 'r_4336', 'r_4355', 'r_4570', 'r_4572', 'r_4702', 'r_4706', 'r_4761', 'r_4767']",31,"['r_0018', 'r_0068', 'r_0216', 'r_0471', 'r_0472', 'r_0659', 'r_0663', 'r_0681', 'r_0699', 'r_0819', 'r_0851', 'r_1029', 'r_1056', 'r_1063', 'r_1087', 'r_1099', 'r_1112', 'r_1587', 'r_1588', 'r_1647', 'r_1652', 'r_4226', 'r_4260', 'r_4336', 'r_4355', 'r_4570', 'r_4572', 'r_4702', 'r_4706', 'r_4761', 'r_4767', 'rxn58', 'rxn74', 'rxn75', 'rxn76', 'rxn77', 'rxn310', 'rxn416', 'rxn420', 'rxn425', 'rxn505', 'rxn510', 'rxn653', 'rxn743', 'rxn818', 'rxn822', 'rxn859', 'rxn863', 'rxn867', 'rxn871', 'rxn900', 'rxn973', 'rxn974', 'rxn976', 'rxn978', 'rxn1020', 'rxn1025', 'rxn1227', 'rxn1231', 'rxn1235', 'rxn1344', 'rxn1349', 'rxn1460', 'rxn1465', 'rxn1470', 'rxn1522', 'rxn1572', 'rxn1577', 'rxn1605', 'rxn1757', 'rxn1758', 'rxn1759', 'rxn1760', 'rxn1934', 'rxn1935', 'rxn1936', 'rxn2118', 'rxn2240', 'rxn2326', 'rxn2443', 'rxn2573', 'rxn2652', 'rxn3148']",83
L-citrulline,native,amino acid,"['r_0208', 'r_4469']",2,"['r_0208', 'r_4469']",2
L-threonine,native,amino acid,"['r_0692', 'r_1040', 'r_1042', 'r_1218', 'r_2072', 'r_4247', 'r_4441']",7,"['r_0692', 'r_1040', 'r_1042', 'r_1218', 'r_2072', 'r_4247', 'r_4441']",7
L-proline,native,amino acid,"['r_0941', 'r_1216', 'r_1905']",3,"['r_0941', 'r_1216', 'r_1905', 'rxn86', 'rxn330', 'rxn1934', 'rxn1937', 'rxn1940', 'rxn1943']",9
L-arginine,native,amino acid,"['r_0206', 'r_0207', 'r_0209', 'r_1184', 'r_1185', 'r_1657', 'r_4161', 'r_4366']",8,"['r_0206', 'r_0207', 'r_0209', 'r_1184', 'r_1185', 'r_1657', 'r_4161', 'r_4366', 'rxn1528']",9
L-homoserine,native,amino acid,"['r_0548', 'r_0549', 'r_1895']",3,"['r_0548', 'r_0549', 'r_1895', 'rxn1936', 'rxn1939', 'rxn1942', 'rxn1945', 'rxn2311', 'rxn2334']",9
L-valine,native,amino acid,"['r_1087', 'r_1089', 'r_1224', 'r_2093']",4,"['r_1087', 'r_1089', 'r_1224', 'r_2093', 'rxn2069', 'rxn2372', 'rxn2373', 'rxn2374', 'rxn2375', 'rxn2376', 'rxn2427']",11
L-histidine,native,amino acid,"['r_0539', 'r_0541', 'r_1200', 'r_1201', 'r_1837', 'r_4162']",6,"['r_0539', 'r_0541', 'r_1200', 'r_1201', 'r_1837', 'r_4162', 'rxn31', 'rxn1114', 'rxn2512', 'rxn2514', 'rxn2785', 'rxn2932']",12
L-tryptophan,native,amino acid,"['r_0694', 'r_1056', 'r_1057', 'r_1219', 'r_2082', 'r_2118']",6,"['r_0694', 'r_1056', 'r_1057', 'r_1219', 'r_2082', 'r_2118', 'rxn268', 'rxn619', 'rxn620', 'rxn621', 'rxn927', 'rxn1119', 'rxn1179', 'rxn2390', 'rxn3145']",15
Glutathione,native,amino acid,"['r_0443', 'r_0457', 'r_0483', 'r_0697', 'r_0964', 'r_1168', 'r_4171', 'r_4188', 'r_4200', 'r_4208', 'r_4598', 'r_4618']",12,"['r_0443', 'r_0457', 'r_0483', 'r_0697', 'r_0964', 'r_1168', 'r_4171', 'r_4188', 'r_4200', 'r_4208', 'r_4598', 'r_4618', 'rxn629', 'rxn668', 'rxn748', 'rxn1353', 'rxn1520', 'rxn2274']",18
L-asparagine,native,amino acid,"['r_0212', 'r_0679', 'r_1186', 'r_1187', 'r_1658']",5,"['r_0212', 'r_0679', 'r_1186', 'r_1187', 'r_1658', 'rxn54', 'rxn140', 'rxn178', 'rxn973', 'rxn979', 'rxn983', 'rxn985', 'rxn987', 'rxn1170', 'rxn1175', 'rxn1542', 'rxn1642', 'rxn2020']",18
Ornithine,native,amino acid,"['r_0816', 'r_0817', 'r_0819', 'r_1238']",4,"['r_0816', 'r_0817', 'r_0819', 'r_1238', 'rxn165', 'rxn334', 'rxn437', 'rxn653', 'rxn654', 'rxn1190', 'rxn1256', 'rxn1475', 'rxn1476', 'rxn1477', 'rxn1478', 'rxn1551', 'rxn1552', 'rxn1553', 'rxn1554', 'rxn1555', 'rxn1556', 'rxn1557', 'rxn1925', 'rxn2129', 'rxn2134', 'rxn2138', 'rxn3140']",27
